logg,Teff,Z,xi,a,b,Filt,Met,Mod
 5.00,  5500,-3.5, 2.0, 0.2185, 0.3676,Kp,L,A
 3.50,  5750,-3.5, 2.0, 0.3086, 0.3024,Kp,L,A
 4.00,  5750,-3.5, 2.0, 0.2896, 0.3168,Kp,L,A
 4.50,  5750,-3.5, 2.0, 0.2660, 0.3343,Kp,L,A
 5.00,  5750,-3.5, 2.0, 0.2367, 0.3537,Kp,L,A
 3.50,  6000,-3.5, 2.0, 0.3103, 0.2939,Kp,L,A
 4.00,  6000,-3.5, 2.0, 0.2973, 0.3045,Kp,L,A
 4.50,  6000,-3.5, 2.0, 0.2803, 0.3171,Kp,L,A
 5.00,  6000,-3.5, 2.0, 0.2530, 0.3362,Kp,L,A
 3.50,  6250,-3.5, 2.0, 0.3069, 0.2900,Kp,L,A
 4.00,  6250,-3.5, 2.0, 0.2961, 0.2989,Kp,L,A
 4.50,  6250,-3.5, 2.0, 0.2852, 0.3065,Kp,L,A
 5.00,  6250,-3.5, 2.0, 0.2651, 0.3209,Kp,L,A
 3.50,  6500,-3.5, 2.0, 0.3011, 0.2876,Kp,L,A
 4.00,  6500,-3.5, 2.0, 0.2943, 0.2931,Kp,L,A
 4.50,  6500,-3.5, 2.0, 0.2854, 0.3004,Kp,L,A
 5.00,  6500,-3.5, 2.0, 0.2695, 0.3120,Kp,L,A
 3.50,  6750,-3.5, 2.0, 0.2895, 0.2915,Kp,L,A
 4.00,  6750,-3.5, 2.0, 0.2871, 0.2932,Kp,L,A
 4.50,  6750,-3.5, 2.0, 0.2817, 0.2970,Kp,L,A
 5.00,  6750,-3.5, 2.0, 0.2708, 0.3049,Kp,L,A
 3.50,  7000,-3.5, 2.0, 0.2754, 0.2975,Kp,L,A
 4.00,  7000,-3.5, 2.0, 0.2763, 0.2963,Kp,L,A
 4.50,  7000,-3.5, 2.0, 0.2748, 0.2969,Kp,L,A
 5.00,  7000,-3.5, 2.0, 0.2682, 0.3012,Kp,L,A
 3.50,  7250,-3.5, 2.0, 0.2600, 0.3012,Kp,L,A
 4.00,  7250,-3.5, 2.0, 0.2624, 0.3022,Kp,L,A
 4.50,  7250,-3.5, 2.0, 0.2647, 0.2999,Kp,L,A
 5.00,  7250,-3.5, 2.0, 0.2623, 0.3007,Kp,L,A
 3.50,  7500,-3.5, 2.0, 0.2750, 0.2786,Kp,L,A
 4.00,  7500,-3.5, 2.0, 0.2486, 0.3087,Kp,L,A
 4.50,  7500,-3.5, 2.0, 0.2505, 0.3065,Kp,L,A
 5.00,  7500,-3.5, 2.0, 0.2516, 0.3045,Kp,L,A
 3.50,  7750,-3.5, 2.0, 0.3001, 0.2639,Kp,L,A
 4.00,  7750,-3.5, 2.0, 0.2400, 0.3070,Kp,L,A
 4.50,  7750,-3.5, 2.0, 0.2363, 0.3135,Kp,L,A
 5.00,  7750,-3.5, 2.0, 0.2380, 0.3109,Kp,L,A
 3.50,  8000,-3.5, 2.0, 0.3150, 0.2514,Kp,L,A
