##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): July 18, 2019, 11:54 p.m.
## Download Date (Y/M/D): 2019/07/22
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-2&quot;],&quot;morph&quot;:{&quot;max&quot;:0.8,&quot;min&quot;:0.0},&quot;kics&quot;:[],&quot;cols&quot;:[&quot;sdepth&quot;,&quot;scdata&quot;,&quot;morph&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;perr&quot;],&quot;etvshort&quot;:true,&quot;p&quot;:{&quot;max&quot;:50.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;keff&quot;:{&quot;min&quot;:0.0},&quot;kois&quot;:[]}
##
#KIC,period,period_err,pdepth,sdepth,morph,Teff,SC,
11247386,0.3943253,0.0000006,0.2258,0.1499,0.76,7422.0000,False,
2717141,0.3945715,0.0000003,0.4340,0.4225,0.78,6140.0000,True,
4909422,0.3951035,0.0000003,0.1019,0.0884,0.72,5404.0000,False,
9654476,0.3963239,0.0000003,0.3230,0.2046,0.71,5628.0000,True,
10389809,0.3973971,0.0000003,0.2662,0.2553,0.77,5786.0000,False,
5737474,0.3979422,0.0000003,0.0127,0.0081,0.76,5613.0000,False,
8703528,0.3998748,0.0000003,0.4735,0.4606,0.75,5285.0000,True,
11198068,0.4001746,0.0000003,0.4349,0.3212,0.71,5030.0000,False,
11403776,0.4018056,0.0000003,0.1838,0.1605,0.71,5571.0000,False,
9051723,0.4034483,0.0000003,0.0201,0.0180,0.74,5213.0000,False,
7432479,0.4084587,0.0000006,0.5907,0.4617,0.71,5607.0000,False,
6344429,0.4084591,0.0000052,0.3105,0.2191,0.76,6816.0000,False,
8690104,0.4087744,0.0000003,0.3845,0.3715,0.77,5868.0000,False,
7709086,0.4094746,0.0000003,0.3296,0.3161,0.79,5512.0000,False,
3969362,0.4105683,0.0000003,0.1250,0.0759,0.80,6560.0000,False,
11652545,0.4127947,0.0000003,0.1002,0.0357,0.68,5365.0000,True,
5980800,0.4141629,0.0000004,0.0088,0.0035,0.61,5193.0000,False,
9703626,0.4151477,0.0000003,0.3309,0.3355,0.78,6163.0000,False,
9722737,0.4185280,0.0000003,0.1429,0.1310,0.79,6517.0000,False,
9995660,0.4185900,0.0000003,0.3807,0.4076,0.75,5560.0000,False,
2556127,0.4188713,0.0000003,0.0085,0.0058,0.60,5920.0000,True,
7512381,0.4239248,0.0000003,0.4191,0.3974,0.75,5911.0000,False,
10468514,0.4249383,0.0000765,0.0068,0.0026,0.58,5158.0000,False,
9897710,0.4255367,0.0000003,0.0223,0.0133,0.76,5610.0000,False,
9268105,0.4256937,0.0000003,0.2151,0.2117,0.76,6046.0000,False,
9021397,0.4262114,0.0000003,0.0233,0.0199,0.80,5301.0000,False,
12218858,0.4266579,0.0000003,0.1693,-1.0000,0.65,5513.0000,False,
11410485,0.4287929,0.0000003,0.0575,0.0222,0.78,6732.0000,False,
5394544,0.4319744,0.0000003,0.0051,0.0030,0.57,5884.0000,True,
10797126,0.4324399,0.0000003,0.1569,0.0911,0.77,6432.0000,False,
8823666,0.4324514,0.0000003,0.2707,0.2734,0.79,5959.0000,False,
4464999,0.4341644,0.0000003,0.2780,0.2659,0.78,5820.0000,False,
8564672,0.4347912,0.0000003,0.0005,-1.0000,0.53,5507.0000,False,
2858322,0.4363999,0.0000003,0.1265,0.0731,0.77,5605.0000,False,
10877703,0.4369367,0.0000003,0.3158,0.3012,0.80,6106.0000,False,
3119295,0.4396981,0.0000058,0.3456,0.2798,0.75,7236.0000,False,
10389982,0.4439893,0.0000003,0.3231,0.1814,0.74,6859.0000,False,
11924311,0.4451163,0.0000003,0.3065,0.2210,0.77,6418.0000,False,
10485069,0.4452718,0.0000003,0.0001,-1.0000,0.75,5934.0000,False,
10485137,0.4452748,0.0000003,0.3585,0.2689,0.72,6013.0000,False,
9786798,0.4454678,0.0000003,0.4864,0.4666,0.74,5983.0000,False,
9087918,0.4456069,0.0000003,0.3853,0.3766,0.78,5675.0000,False,
11230837,0.4460787,0.0000003,0.0886,0.0660,0.61,5439.0000,False,
6390205,0.4494018,0.0000003,0.0564,0.0351,0.80,8254.0000,False,
4946584,0.4539717,0.0000003,0.0014,-1.0000,0.62,6179.0000,False,
5041843,0.4572343,0.0000007,0.1346,0.0601,0.65,7625.0000,False,
7610486,0.4576793,0.0000003,0.2724,0.2347,0.80,5682.0000,False,
5374999,0.4578798,0.0000003,0.4053,0.1950,0.67,5806.0000,False,
5785586,0.4596214,0.0000003,0.0459,0.0137,0.59,5125.0000,False,
5535061,0.4634302,0.0000003,0.5123,0.4843,0.77,6580.0000,False,
7518816,0.4665800,0.0000003,0.3104,0.1404,0.65,6087.0000,False,
2854752,0.4704329,0.0000003,0.1810,0.1138,0.79,7073.0000,False,
6671698,0.4715248,0.0000004,0.5446,0.5274,0.73,5570.0000,False,
10861842,0.4719432,0.0000004,0.3463,0.2099,0.76,7191.0000,True,
7657914,0.4745462,0.0000003,0.4059,0.2088,0.72,6794.0000,False,
7590728,0.4767224,0.0000008,0.3066,0.1343,0.70,6931.0000,False,
