logg,Teff,Z,xi,aLSM,bLSM
5.0,3750,-3.0,2.0,0.0953,0.5046
3.5,4000,-3.0,2.0,0.0882,0.4404
4.0,4000,-3.0,2.0,0.0624,0.4495
4.5,4000,-3.0,2.0,0.0552,0.4502
5.0,4000,-3.0,2.0,0.0558,0.4547
3.5,4250,-3.0,2.0,0.1132,0.4228
4.0,4250,-3.0,2.0,0.0603,0.4515
4.5,4250,-3.0,2.0,0.0454,0.4441
5.0,4250,-3.0,2.0,0.0409,0.4449
3.5,4500,-3.0,2.0,0.1709,0.3635
4.0,4500,-3.0,2.0,0.1107,0.3981
4.5,4500,-3.0,2.0,0.0625,0.4201
5.0,4500,-3.0,2.0,0.036,0.4286
3.5,4750,-3.0,2.0,0.1799,0.3612
4.0,4750,-3.0,2.0,0.1531,0.3742
4.5,4750,-3.0,2.0,0.1127,0.38
5.0,4750,-3.0,2.0,0.0702,0.3909
3.5,5000,-3.0,2.0,0.1967,0.3411
4.0,5000,-3.0,2.0,0.1722,0.3559
4.5,5000,-3.0,2.0,0.1351,0.3767
5.0,5000,-3.0,2.0,0.0918,0.4
3.5,5250,-3.0,2.0,0.2107,0.3258
4.0,5250,-3.0,2.0,0.1917,0.337
4.5,5250,-3.0,2.0,0.1677,0.35
5.0,5250,-3.0,2.0,0.1488,0.3588
3.5,5500,-3.0,2.0,0.2213,0.3124
4.0,5500,-3.0,2.0,0.2063,0.3221
4.5,5500,-3.0,2.0,0.1853,0.3356
5.0,5500,-3.0,2.0,0.159,0.3512
3.5,5750,-3.0,2.0,0.2269,0.3012
4.0,5750,-3.0,2.0,0.2158,0.3092
4.5,5750,-3.0,2.0,0.1988,0.3206
5.0,5750,-3.0,2.0,0.1769,0.3352
3.5,6000,-3.0,2.0,0.2282,0.2933
4.0,6000,-3.0,2.0,0.2209,0.299
4.5,6000,-3.0,2.0,0.209,0.3077
5.0,6000,-3.0,2.0,0.1903,0.3203
3.5,6250,-3.0,2.0,0.2265,0.2876
4.0,6250,-3.0,2.0,0.223,0.2905
4.5,6250,-3.0,2.0,0.2153,0.2961
5.0,6250,-3.0,2.0,0.2,0.3073
3.5,6500,-3.0,2.0,0.2195,0.2868
4.0,6500,-3.0,2.0,0.2193,0.2869
4.5,6500,-3.0,2.0,0.2173,0.2883
5.0,6500,-3.0,2.0,0.2077,0.295
3.5,6750,-3.0,2.0,0.2082,0.2899
4.0,6750,-3.0,2.0,0.2112,0.2875
4.5,6750,-3.0,2.0,0.2137,0.2852
5.0,6750,-3.0,2.0,0.2084,0.2889
3.5,7000,-3.0,2.0,0.195,0.2949
4.0,7000,-3.0,2.0,0.2004,0.2905
4.5,7000,-3.0,2.0,0.2057,0.2861
5.0,7000,-3.0,2.0,0.204,0.287
3.5,7250,-3.0,2.0,0.1767,0.3018
4.0,7250,-3.0,2.0,0.1869,0.2957
4.5,7250,-3.0,2.0,0.1951,0.2892
5.0,7250,-3.0,2.0,0.1966,0.2878
3.5,7500,-3.0,2.0,0.1899,0.2846
4.0,7500,-3.0,2.0,0.1764,0.2985
4.5,7500,-3.0,2.0,0.182,0.2944
5.0,7500,-3.0,2.0,0.186,0.2914
3.5,7750,-3.0,2.0,0.2171,0.257
4.0,7750,-3.0,2.0,0.1633,0.3007
4.5,7750,-3.0,2.0,0.1694,0.299
5.0,7750,-3.0,2.0,0.1723,0.297
3.5,8000,-3.0,2.0,0.2352,0.2371
4.0,8000,-3.0,2.0,0.1888,0.2748
4.5,8000,-3.0,2.0,0.1482,0.3073
5.0,8000,-3.0,2.0,0.1584,0.3025
3.5,8250,-3.0,2.0,0.2274,0.2332
4.0,8250,-3.0,2.0,0.2137,0.2482
4.5,8250,-3.0,2.0,0.1645,0.2902
5.0,8250,-3.0,2.0,0.1408,0.3089
3.5,8500,-3.0,2.0,0.2077,0.2424
4.0,8500,-3.0,2.0,0.2167,0.2337
4.5,8500,-3.0,2.0,0.1898,0.2623
5.0,8500,-3.0,2.0,0.1466,0.2991
3.5,8750,-3.0,2.0,0.1915,0.2482
4.0,8750,-3.0,2.0,0.1992,0.2396
4.5,8750,-3.0,2.0,0.2033,0.2386
5.0,8750,-3.0,2.0,0.162,0.2796
3.5,9000,-3.0,2.0,0.179,0.2505
4.0,9000,-3.0,2.0,0.185,0.2437
4.5,9000,-3.0,2.0,0.1918,0.2366
5.0,9000,-3.0,2.0,0.199,0.2293
3.5,9250,-3.0,2.0,0.1698,0.2507
4.0,9250,-3.0,2.0,0.1742,0.2451
4.5,9250,-3.0,2.0,0.1785,0.2408
5.0,9250,-3.0,2.0,0.1844,0.2348
3.5,9500,-3.0,2.0,0.1632,0.2499
4.0,9500,-3.0,2.0,0.1659,0.245
4.5,9500,-3.0,2.0,0.1681,0.2425
5.0,9500,-3.0,2.0,0.1725,0.2381
3.5,9750,-3.0,2.0,0.1574,0.2492
4.0,9750,-3.0,2.0,0.159,0.2446
4.5,9750,-3.0,2.0,0.1606,0.2421
5.0,9750,-3.0,2.0,0.1628,0.2398
3.5,10000,-3.0,2.0,0.1521,0.2488
4.0,10000,-3.0,2.0,0.1539,0.2435
4.5,10000,-3.0,2.0,0.1546,0.2413
5.0,10000,-3.0,2.0,0.1554,0.2399
3.5,3500,-2.5,2.0,0.0576,0.512
4.0,3500,-2.5,2.0,0.0722,0.5073
3.5,3750,-2.5,2.0,0.0705,0.4691
4.0,3750,-2.5,2.0,0.0531,0.4803
4.5,3750,-2.5,2.0,0.0531,0.4873
3.5,4000,-2.5,2.0,0.158,0.3924
4.0,4000,-2.5,2.0,0.1081,0.407
4.5,4000,-2.5,2.0,0.0788,0.418
3.5,4250,-2.5,2.0,0.2142,0.3681
4.0,4250,-2.5,2.0,0.1409,0.4079
4.5,4250,-2.5,2.0,0.0962,0.4238
5.0,4250,-2.5,2.0,0.0757,0.4259
3.5,4500,-2.5,2.0,0.2318,0.3488
4.0,4500,-2.5,2.0,0.1755,0.3797
4.5,4500,-2.5,2.0,0.1211,0.4073
5.0,4500,-2.5,2.0,0.0869,0.411
3.5,4750,-2.5,2.0,0.2116,0.3495
4.0,4750,-2.5,2.0,0.1906,0.3661
4.5,4750,-2.5,2.0,0.1482,0.379
5.0,4750,-2.5,2.0,0.103,0.4015
3.5,5000,-2.5,2.0,0.2089,0.3343
4.0,5000,-2.5,2.0,0.1919,0.3434
4.5,5000,-2.5,2.0,0.1604,0.3679
5.0,5000,-2.5,2.0,0.1178,0.3943
3.5,5250,-2.5,2.0,0.2181,0.3194
4.0,5250,-2.5,2.0,0.2006,0.3307
4.5,5250,-2.5,2.0,0.181,0.3395
5.0,5250,-2.5,2.0,0.1462,0.3644
3.5,5500,-2.5,2.0,0.2245,0.3086
4.0,5500,-2.5,2.0,0.2137,0.3137
4.5,5500,-2.5,2.0,0.1917,0.3296
5.0,5500,-2.5,2.0,0.1701,0.3399
3.5,5750,-2.5,2.0,0.2309,0.2962
4.0,5750,-2.5,2.0,0.2231,0.3015
4.5,5750,-2.5,2.0,0.2028,0.3163
5.0,5750,-2.5,2.0,0.1818,0.3296
3.5,6000,-2.5,2.0,0.2279,0.2931
4.0,6000,-2.5,2.0,0.2221,0.2973
4.5,6000,-2.5,2.0,0.2109,0.3053
5.0,6000,-2.5,2.0,0.1951,0.3141
3.5,6250,-2.5,2.0,0.2285,0.2846
4.0,6250,-2.5,2.0,0.2247,0.2872
4.5,6250,-2.5,2.0,0.2156,0.2953
